,GrLivArea,OverallQual,GarageCars,Fireplaces_ordinal,MSZoning_ordinal,SalePrice
0,1710,7,2,0,2,208500
1,1262,6,2,2,2,181500
2,1786,7,2,2,2,223500
3,1717,7,3,3,2,140000
4,2198,8,3,2,2,250000
5,1362,5,2,0,2,143000
6,1694,8,2,3,2,307000
7,2090,7,2,2,2,200000
8,1774,7,2,2,1,129900
9,1077,5,1,2,2,118000
10,1040,5,1,0,2,129500
11,2324,9,3,3,2,345000
12,912,5,1,0,2,144000
13,1494,7,3,3,2,279500
14,1253,6,1,1,2,157000
15,854,7,2,0,1,132000
16,1004,6,2,2,2,149000
18,1114,5,2,0,2,159000
19,1339,5,1,0,2,139000
20,2376,8,3,3,2,325300
21,1108,7,1,3,1,139400
22,1795,8,2,3,2,230000
23,1060,5,2,2,1,129900
24,1060,5,1,2,2,154000
25,1600,8,3,3,2,256300
26,900,5,2,0,2,134800
27,1704,8,3,3,2,306000
28,1600,5,1,3,2,207500
29,520,4,1,0,1,68500
30,1317,4,1,0,0,40000
31,1228,5,1,0,2,149350
32,1234,8,2,0,2,179900
33,1700,5,2,3,2,165500
34,1561,9,2,3,2,277500
35,2452,8,3,3,2,309000
36,1097,5,2,0,2,145000
37,1297,5,2,2,2,153000
38,1057,5,1,0,2,109000
40,1324,6,2,2,2,160000
41,1328,5,1,3,2,170000
42,884,5,2,0,2,144000
43,938,5,1,0,2,130250
44,1150,5,1,0,2,141000
45,1752,9,2,3,2,319900
46,2149,7,2,4,2,239686
47,1656,8,3,0,3,249700
48,1452,4,0,0,1,113000
49,955,5,1,0,2,127000
50,1470,6,2,0,2,177000
51,1176,6,2,3,1,114500
52,816,5,2,0,1,110000
53,1842,9,3,3,2,385000
54,1360,5,2,2,2,130000
55,1425,6,2,3,2,180500
56,1739,8,2,0,3,172500
57,1720,7,2,0,2,196500
58,2945,10,3,3,2,438780
59,780,5,1,0,2,124900
60,1158,6,2,0,2,158000
61,1111,5,1,0,1,101000
62,1370,8,2,3,2,202500
63,1710,7,2,0,1,140000
64,2034,7,2,0,2,219500
65,2473,8,3,3,2,317000
66,2207,7,2,3,2,180000
67,1479,7,2,0,2,226000
68,747,4,1,0,1,80000
69,2287,7,2,2,2,225000
70,2223,7,2,3,2,244000
71,845,4,2,0,2,129500
72,1718,7,2,2,2,185000
73,1086,5,2,0,2,144900
74,1605,3,1,0,1,107400
75,988,4,1,0,1,91000
76,952,4,1,0,2,135750
77,1285,5,1,0,1,127000
78,1768,4,0,0,2,136500
79,1230,5,2,0,1,110000
80,2142,6,1,3,2,193500
81,1337,6,2,0,1,153500
82,1563,8,3,3,2,245000
83,1065,5,2,0,2,126500
84,1474,7,2,2,2,168500
85,2417,8,2,2,2,260000
86,1560,6,2,3,2,174000
87,1224,6,2,0,3,164500
88,1526,3,0,0,0,85000
89,990,4,0,0,2,123600
91,1235,5,2,0,2,98600
92,964,5,2,0,2,163500
93,2291,6,2,3,0,133900
94,1786,6,2,0,2,204750
95,1470,6,2,2,2,185000
96,1588,7,2,0,2,214000
97,960,4,1,0,2,94750
98,835,5,1,0,2,83000
99,1225,4,0,0,2,128950
100,1610,6,2,2,2,205000
101,1732,6,2,2,2,178000
103,1226,7,3,0,2,198900
104,1818,7,1,2,1,169500
105,1992,8,2,3,3,250000
106,1047,4,1,0,1,100000
107,789,5,1,0,1,115000
108,1517,5,0,0,1,115000
109,1844,6,2,2,2,190000
110,1855,6,1,0,2,136900
111,1430,7,2,2,2,180000
112,2696,7,3,3,2,383970
113,2259,6,2,3,2,217000
114,2320,6,1,2,2,259500
115,1458,6,2,1,3,176000
116,1092,5,1,1,2,139000
117,1125,5,2,0,2,155000
118,3222,7,3,2,2,320000
119,1456,6,2,3,2,163990
120,988,6,2,2,2,180000
121,1123,4,1,0,1,100000
122,1080,6,1,0,2,136000
123,1199,6,2,0,2,153900
124,1586,6,2,2,2,181000
125,754,6,0,0,1,84500
126,958,6,2,2,2,128000
127,840,5,0,2,1,87000
128,1348,6,2,1,2,155000
129,1053,5,2,0,2,150000
130,2157,7,2,3,2,226000
131,2054,6,2,2,2,244000
132,1327,5,2,0,2,150750
133,1296,8,2,0,2,220000
134,1721,5,2,2,2,180000
135,1682,7,2,3,2,174000
136,1214,5,1,1,2,143000
137,1959,7,3,0,2,171000
138,1852,8,3,2,2,230000
139,1764,6,2,0,2,231500
140,864,4,0,1,2,115000
141,1734,7,2,0,2,260000
142,1385,5,2,0,2,166000
143,1501,7,2,0,2,204000
144,1728,5,2,0,1,125000
145,1709,6,2,0,1,130000
146,875,5,1,0,1,105000
147,2035,7,2,3,2,222500
148,1080,7,0,0,2,141000
149,1344,5,1,0,1,115000
150,969,5,2,0,2,122000
151,1710,8,3,3,2,372402
152,1993,6,2,3,2,190000
153,1252,6,2,3,2,235000
154,1200,6,1,0,1,125000
155,1096,6,0,0,2,79000
157,1968,8,3,3,2,269500
158,1947,7,2,3,3,254900
159,2462,7,2,3,2,320000
160,1232,6,2,0,2,162500
161,2668,9,3,3,2,412500
162,1541,7,2,3,2,220000
163,882,4,0,0,2,103200
164,1616,6,1,0,1,152000
165,1355,5,0,0,2,127500
166,1867,5,1,3,2,190000
167,2161,8,3,3,2,325624
168,1720,7,2,3,2,183500
169,1707,8,2,2,2,228000
170,1382,5,2,0,1,128500
171,1656,6,2,3,2,215000
172,1767,7,2,2,2,239000
173,1362,6,2,2,2,163000
174,1651,6,2,2,2,184000
175,2158,6,2,3,2,243000
176,2060,6,2,2,2,211000
177,1920,5,2,3,2,172500
178,2234,9,3,3,2,501837
179,968,5,2,0,1,100000
180,1525,6,2,2,3,177000
181,1802,7,1,3,2,200100
183,2082,7,2,0,1,200000
184,1252,5,2,0,2,127000
185,3608,10,3,2,1,475000
186,1217,7,2,0,2,173000
187,1656,5,1,0,2,135000
188,1224,5,2,2,2,153337
189,1593,8,2,3,2,286000
190,2727,8,2,2,2,315000
191,1479,7,2,0,2,184000
192,1431,7,2,0,2,192000
193,1709,7,2,0,1,130000
194,864,5,1,0,2,127000
195,1456,6,2,2,2,148500
196,1726,7,3,3,2,311872
197,3112,8,2,4,2,235000
198,2229,6,0,0,1,104000
199,1713,8,3,3,2,274900
200,1121,4,2,0,1,140000
201,1279,6,2,1,2,171500
202,1310,6,1,0,2,112000
203,848,6,2,3,1,149000
204,1284,5,1,0,1,110000
205,1442,7,2,0,2,180500
206,1696,5,1,2,2,143900
207,1100,4,1,1,2,141000
208,2062,7,2,3,2,277000
209,1092,6,2,0,2,145000
210,864,5,0,0,2,98000
211,1212,6,2,0,2,186000
212,1852,7,2,2,3,252678
213,990,5,2,0,2,156000
214,1392,6,1,0,2,161750
215,1236,5,1,1,2,134450
216,1436,7,2,0,2,210000
217,1328,4,1,0,1,107000
218,1954,7,2,2,2,311500
219,1248,7,2,0,2,167240
220,1498,7,2,0,2,204900
221,2267,6,2,2,2,200000
222,1552,6,2,2,2,179900
223,864,4,2,0,2,97000
224,2392,10,3,4,2,386250
225,1302,5,1,0,1,112000
226,2520,7,3,2,2,290000
227,987,6,1,0,1,106000
228,912,5,1,1,2,125000
229,1555,7,2,2,2,192500
230,1194,6,1,0,2,148000
231,2794,8,3,2,2,403000
232,987,6,1,1,1,94500
233,894,5,1,0,2,128200
235,987,6,1,0,1,89500
236,1414,7,2,0,2,185500
237,1744,7,2,0,2,194500
238,1694,8,3,0,2,318000
239,1487,6,1,3,2,113000
240,1566,8,2,0,3,262500
241,866,5,0,0,1,110500
242,1440,5,1,0,1,79000
243,1217,6,1,2,2,120000
244,2110,7,2,1,2,205000
245,1872,7,2,2,2,241500
246,1928,6,1,0,1,137000
247,1375,6,2,2,2,140000
248,1668,7,2,0,2,180000
249,2144,6,2,2,2,277000
250,1306,3,0,0,2,76500
251,1625,8,2,3,1,235000
252,1640,6,2,0,2,173000
253,1302,6,1,0,2,158000
254,1314,5,1,0,2,145000
255,2291,7,2,2,2,230000
256,1728,6,2,0,3,207500
257,1604,7,2,3,2,220000
258,1792,7,2,2,2,231500
260,1382,6,2,2,2,176000
261,2574,8,3,3,2,276000
262,1212,6,2,2,2,151000
263,1316,5,2,0,1,130000
264,764,5,2,0,1,73000
265,1422,6,2,2,2,175500
266,1511,6,2,2,2,185000
267,2192,5,1,3,2,179500
268,778,5,1,3,1,120500
269,1113,6,1,1,2,148000
270,1939,8,3,3,3,266000
271,1363,7,2,2,2,241500
272,2270,8,3,3,2,290000
273,1632,6,1,3,2,139000
274,816,5,1,0,2,124500
275,1548,7,2,0,2,205000
276,1560,7,2,0,2,201000
277,864,4,2,0,2,141000
278,2121,9,3,4,2,415298
279,2022,7,2,2,2,192000
280,1982,7,2,2,2,228500
281,1262,6,2,0,3,185000
282,1314,7,2,3,2,207500
283,1468,8,3,3,2,244600
284,1575,6,2,0,2,179200
285,1250,7,2,0,3,164700
286,1734,6,2,3,2,159000
287,858,4,0,0,2,88000
288,900,5,1,0,2,122000
289,1396,6,1,0,2,153575
290,1919,8,2,3,2,233230
291,1716,5,0,0,2,135900
292,1716,5,1,3,2,131000
293,2263,7,2,2,2,235000
294,1644,6,2,3,2,167000
295,1003,6,2,0,2,142500
296,1558,5,1,0,1,152000
297,1950,7,2,2,3,239000
298,1743,6,2,3,2,175000
299,1152,6,1,3,2,158500
300,1336,5,1,3,2,157000
301,2452,8,2,2,2,267000
302,1541,7,3,2,2,205000
303,894,5,2,0,2,149900
304,3493,7,3,4,1,295000
305,2000,8,3,0,2,305900
306,2243,7,3,2,2,225000
307,1406,6,0,0,1,89500
308,861,4,2,0,2,82500
309,1944,9,3,4,2,360000
310,1501,6,2,2,2,165600
311,972,6,1,3,2,132000
312,1118,5,2,3,1,119900
313,2036,7,2,3,2,375000
314,1641,7,2,3,1,178000
315,1432,7,2,3,2,188500
316,2353,7,2,2,2,260000
317,1959,8,3,3,3,270000
318,2646,7,3,2,2,260000
319,1472,7,2,2,2,187500
320,2596,9,3,0,2,342643
321,2468,8,3,3,2,354000
322,2730,7,2,2,2,301000
323,1163,3,1,0,1,126175
324,2978,7,2,3,2,242000
325,803,5,2,0,1,87000
326,1719,8,2,3,2,324000
327,1383,6,1,0,2,145250
328,2134,6,2,0,2,214500
329,1192,5,1,0,1,78000
330,1728,5,1,0,2,119000
331,1056,5,1,0,2,139000
333,1358,7,2,3,1,207000
334,1638,6,2,2,2,192000
335,1786,5,2,3,2,228950
